date,count
9-Jan-18,1
16-Jan-18,1
22-Jan-18,1
23-Jan-18,20
31-Jan-18,1
1-Feb-18,2
5-Feb-18,1
9-Feb-18,1
14-Feb-18,34
15-Feb-18,1
20-Feb-18,1
5-Mar-18,1
7-Mar-18,2
9-Mar-18,1
13-Mar-18,3
19-Mar-18,1
20-Mar-18,3
29-Mar-18,1
9-Apr-18,1
12-Apr-18,1
20-Apr-18,1
3-May-18,1
11-May-18,1
16-May-18,1
17-May-18,2
18-May-18,26
21-May-18,1
25-May-18,2
1-Jun-18,1
17-Jun-18,1
21-Jun-18,1
24-Jun-18,2
25-Jun-18,1
1-Jul-18,1
3-Jul-18,2
11-Jul-18,1
19-Jul-18,1
4-Aug-18,1
9-Aug-18,1
11-Aug-18,1
17-Aug-18,2
24-Aug-18,6
28-Aug-18,1
29-Aug-18,1
30-Aug-18,1
3-Sep-18,1
5-Sep-18,2
10-Sep-18,4
11-Sep-18,1
17-Sep-18,1
20-Sep-18,3
24-Sep-18,2
27-Sep-18,1
28-Sep-18,1
3-Oct-18,1
5-Oct-18,3
7-Oct-18,1
13-Oct-18,2
20-Oct-18,1
23-Oct-18,1
29-Oct-18,1
4-Nov-18,2
8-Nov-18,1
12-Nov-18,1
20-Nov-18,1
22-Nov-18,2
24-Nov-18,2
10-Dec-18,1
11-Dec-18,2
13-Dec-18,1
7-Jan-19,1
11-Jan-19,1
18-Jan-19,1
19-Jan-19,2
23-Jan-19,1
25-Jan-19,2
30-Jan-19,1
31-Jan-19,2
5-Feb-19,1
8-Feb-19,1
12-Feb-19,1
17-Feb-19,1
26-Feb-19,1
13-Mar-19,1
22-Mar-19,1
27-Mar-19,1
1-Apr-19,1
5-Apr-19,1
10-Apr-19,1
17-Apr-19,1
24-Apr-19,1
25-Apr-19,10
7-May-19,9
8-May-19,1
17-May-19,1
6-Jun-19,1
10-Jun-19,1
21-Jun-19,1
29-Jun-19,2
1-Jul-19,1
2-Jul-19,1
11-Jul-19,1
17-Aug-19,2
20-Aug-19,1
23-Aug-19,2
24-Aug-19,1
27-Aug-19,1
30-Aug-19,11
2-Sep-19,3
6-Sep-19,2
13-Sep-19,3
14-Sep-19,2
16-Sep-19,1
20-Sep-19,2
8-Oct-19,2
9-Oct-19,5
15-Oct-19,1
18-Oct-19,1
22-Oct-19,1
27-Oct-19,1
29-Oct-19,1
8-Nov-19,1
11-Nov-19,1
13-Nov-19,1
14-Nov-19,6
15-Nov-19,3
21-Nov-19,1
24-Nov-19,2
25-Nov-19,1
26-Nov-19,2
1-Dec-19,1
2-Dec-19,1
3-Dec-19,3
13-Dec-19,1
16-Dec-19,1
19-Dec-19,1
21-Dec-19,4
28-Dec-19,1
8-Jan-20,1
10-Jan-20,1
11-Jan-20,2
14-Jan-20,1
17-Jan-20,2
19-Jan-20,2
21-Jan-20,1
23-Jan-20,1
28-Jan-20,3
31-Jan-20,1
1-Feb-20,1
3-Feb-20,1
5-Feb-20,1
15-Feb-20,1
5-Mar-20,1
15-Mar-20,1
18-Mar-20,1
24-Mar-20,1
30-Mar-20,3
